{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 5.3051212055809494e-05, 'weighted_error': 1.0080147477702306}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.316704324154051e-14, 'weighted_error': 0.9999999999980186}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.316704324356105e-14, 'weighted_error': 0.9999999999980186}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.3167043236276275e-14, 'weighted_error': 0.9999999999980187}
{'sample_size': 40, 'difference': 4, 'noise': 0, 'n': 8, 'shap_error': 0.055733234196057815, 'weighted_error': 1.0882489478511763}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.052168905098604564, 'weighted_error': 1.082605180617399}
{'sample_size': 160, 'difference': -2, 'noise': 0, 'n': 8, 'shap_error': 0.004592394095024431, 'weighted_error': 1.0072717008100744}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.1605758802807127e-13, 'weighted_error': 0.9999999999998124}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.160575880931252e-13, 'weighted_error': 0.9999999999998124}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.1605758780524556e-13, 'weighted_error': 0.9999999999998124}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0025491027123525894, 'weighted_error': 1.0449696280521492}
{'sample_size': 80, 'difference': -1, 'noise': 0, 'n': 8, 'shap_error': 0.0028233745770703746, 'weighted_error': 1.049808338560073}
{'sample_size': 160, 'difference': -10, 'noise': 0, 'n': 8, 'shap_error': 0.0008174003505964723, 'weighted_error': 1.0144201212234327}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 4.256552103230815e-14, 'weighted_error': 0.9999999999994221}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 4.25655209398158e-14, 'weighted_error': 0.9999999999994221}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 4.256552105297265e-14, 'weighted_error': 0.9999999999994221}
{'sample_size': 40, 'difference': 9, 'noise': 0, 'n': 8, 'shap_error': 0.0013679011367138494, 'weighted_error': 1.0789311242495045}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0006695647259613973, 'weighted_error': 1.0386353671067772}
{'sample_size': 160, 'difference': -3, 'noise': 0, 'n': 8, 'shap_error': 0.00016148348878164612, 'weighted_error': 1.009318051871971}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 9.554069870296001e-14, 'weighted_error': 0.9999999999948722}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 9.554069884526869e-14, 'weighted_error': 0.9999999999948725}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 9.554069884373397e-14, 'weighted_error': 0.9999999999948722}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.013285750194851193, 'weighted_error': 1.118575638806502}
{'sample_size': 80, 'difference': -2, 'noise': 0, 'n': 8, 'shap_error': 0.0076304786813272945, 'weighted_error': 1.0681022309804493}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 0.0005887157778689447, 'weighted_error': 1.0052543244316705}
