{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.009598972717649604, 'weighted_error': 1.0002204529284175}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.6244028090448607, 'weighted_error': 1.0076680131541118}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.20831448153083637, 'weighted_error': 1.0025582298472167}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.08684216638062094, 'weighted_error': 1.001066391285643}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.05493526596626526, 'weighted_error': 1.000674668356289}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.012882448016065784, 'weighted_error': 1.0001581763121399}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0067840288058720385, 'weighted_error': 1.0000833062355703}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.2320957526668335, 'weighted_error': 1.005167749083326}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.319065609430338, 'weighted_error': 1.0013382069512198}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.468739529597186, 'weighted_error': 1.0019660000681152}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.1337952127052968, 'weighted_error': 1.000561172330682}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.05740334625595918, 'weighted_error': 1.0002407419322787}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.011855392791053996, 'weighted_error': 1.0000497271240973}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.18355245202395337, 'weighted_error': 1.0078060375414293}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.19371779110216694, 'weighted_error': 1.0082383316243693}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0668955741317471, 'weighted_error': 1.002845007690188}
