{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 3.234548544808054e-05, 'weighted_error': 1.74111151275172, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.00017832602413032466, 'weighted_error': 17.153948032257635, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.005319917482794377, 'weighted_error': 637.0677216072876, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.014743323427933028, 'weighted_error': 783.9131688069178, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 1.65040791173029e-08, 'weighted_error': 1.0011145155416405, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 6.777292397871652e-08, 'weighted_error': 1.0048732960109505, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 1.3408221851305331e-06, 'weighted_error': 1.0359112992794797, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 5.682275647120687e-06, 'weighted_error': 1.220964189966534, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.00012704946185494197, 'weighted_error': 2.883695470290619, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.0005030505514711904, 'weighted_error': 7.2863081287172, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.012046527171971381, 'weighted_error': 29.68108101404913, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.05254944439303481, 'weighted_error': 1173.8539194274758, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 6.48078885204075e-08, 'weighted_error': 1.0012468780696275, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 1.8148212425677564e-07, 'weighted_error': 1.0031732307369758, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 1.4658646886527334e-06, 'weighted_error': 1.0073488072364907, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 4.7631405055081275e-06, 'weighted_error': 1.0036305683157154, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.00012875214525076513, 'weighted_error': 1.317816739436706, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.0004939903367710304, 'weighted_error': 1.7787203227956385, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.012140492042765993, 'weighted_error': 15.565157354842029, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.04632316670876908, 'weighted_error': 6.790332369282186, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 2.8561903857496005e-06, 'weighted_error': 1.0032265304203913, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 1.5429127253951612e-06, 'weighted_error': 1.0017100024112808, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 2.214672400426666e-06, 'weighted_error': 1.0015501056163227, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 4.256966934154223e-06, 'weighted_error': 1.000987135246354, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 8.942900771661096e-05, 'weighted_error': 1.0054091562038483, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.0004253884121241866, 'weighted_error': 1.0982877102787225, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.00885873489243413, 'weighted_error': 1.4453261582587547, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.03826818016295202, 'weighted_error': 5.99078871334093, 'gamma': 250.0}
