{'sample_size': 120, 'difference': -6, 'noise': 1, 'n': 12, 'shap_error': 0.08396179494099, 'weighted_error': 147.12308659906046}
{'sample_size': 120, 'difference': -12, 'noise': 0.0005, 'n': 12, 'shap_error': 6.526399313219005e-05, 'weighted_error': 2.112468255429619}
{'sample_size': 120, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 0.0002694212439657804, 'weighted_error': 5.592477182703663}
{'sample_size': 120, 'difference': -2, 'noise': 0.005, 'n': 12, 'shap_error': 3.9762266677596106e-05, 'weighted_error': 1.6696006196527107}
{'sample_size': 120, 'difference': 20, 'noise': 0.01, 'n': 12, 'shap_error': 0.00017313002381926543, 'weighted_error': 3.918441034483216}
{'sample_size': 120, 'difference': -4, 'noise': 0.05, 'n': 12, 'shap_error': 0.00012947324249466095, 'weighted_error': 2.3847379522150254}
{'sample_size': 120, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 0.0008272329691487414, 'weighted_error': 11.812253098832949}
{'sample_size': 120, 'difference': 6, 'noise': 0.5, 'n': 12, 'shap_error': 0.020337735044663727, 'weighted_error': 265.45772993662047}
{'sample_size': 120, 'difference': -6, 'noise': 1, 'n': 12, 'shap_error': 0.03983741691294208, 'weighted_error': 351.15258236993077}
{'sample_size': 120, 'difference': -2, 'noise': 0.0005, 'n': 12, 'shap_error': 2.3836106998343464e-05, 'weighted_error': 1.1327577490184797}
{'sample_size': 120, 'difference': 14, 'noise': 0.001, 'n': 12, 'shap_error': 0.00019664353249880043, 'weighted_error': 2.0952486122476506}
{'sample_size': 120, 'difference': -12, 'noise': 0.005, 'n': 12, 'shap_error': 0.00024128102013593663, 'weighted_error': 2.3433685414308685}
{'sample_size': 120, 'difference': 8, 'noise': 0.01, 'n': 12, 'shap_error': 2.7313080402202787e-05, 'weighted_error': 1.1500333949503316}
{'sample_size': 120, 'difference': -8, 'noise': 0.05, 'n': 12, 'shap_error': 0.00018522850603917439, 'weighted_error': 1.9792987210927304}
{'sample_size': 120, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 0.0005103615064622289, 'weighted_error': 3.63305857319107}
{'sample_size': 120, 'difference': -6, 'noise': 0.5, 'n': 12, 'shap_error': 0.03591305226929169, 'weighted_error': 195.790223545092}
{'sample_size': 120, 'difference': 10, 'noise': 1, 'n': 12, 'shap_error': 0.22534958626252008, 'weighted_error': 1235.200824173406}
{'sample_size': 120, 'difference': 4, 'noise': 0, 'n': 12, 'shap_error': 0.00016395622791528296, 'weighted_error': 2.0406693900121287}
{'sample_size': 120, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': 4.359206876202982e-05, 'weighted_error': 1.2428002320651308}
