{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0001038007122801042, 'weighted_error': 1.002291475259041}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.00046293691650509415, 'weighted_error': 1.010220044884872}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.00027490824150036114, 'weighted_error': 1.0059813908281565}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.00028072265569735667, 'weighted_error': 1.0058406506447126}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0014139576561095597, 'weighted_error': 1.0222526333577098}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.006042793797919675, 'weighted_error': 1.0975558440070707}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 4.328033097936822e-05, 'weighted_error': 1.0046153856249755}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 4.042629879919366e-05, 'weighted_error': 1.0043109632616956}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 5.542524312973512e-05, 'weighted_error': 1.0059095001110434}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 7.763398098698417e-05, 'weighted_error': 1.0082752072094228}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.00011564444095996726, 'weighted_error': 1.0122387688468653}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 8.6405614760408e-05, 'weighted_error': 1.0088407409910891}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.002084682896552569, 'weighted_error': 1.2129719203018388}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.0041636183186167545, 'weighted_error': 1.4066517155824878}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.001990016267120362, 'weighted_error': 1.005270063766472}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.002654095624754602, 'weighted_error': 1.0070286978998642}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.004754804851024192, 'weighted_error': 1.0125914553161044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.007079808893087932, 'weighted_error': 1.0187472568902407}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0032265085476559157, 'weighted_error': 1.0084977179829067}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.002295428681893166, 'weighted_error': 1.0058913225203259}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.015258413667139242, 'weighted_error': 1.0357192944504736}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.010477433866235043, 'weighted_error': 1.0089916562573142}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 7.161398947420805e-05, 'weighted_error': 1.005032242728776}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.00035325052013827343, 'weighted_error': 1.0248230245747911}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 4.293021149046758e-05, 'weighted_error': 1.002940747996397}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.00014892848063768682, 'weighted_error': 1.010161486662261}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.00017947749599243627, 'weighted_error': 1.0049849891354907}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0006883309020920298, 'weighted_error': 1.0178611647701312}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.012604960218435764, 'weighted_error': 1.1230183122758735}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.05151943189248128, 'weighted_error': 1.569354621994284}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.0002850891573786828, 'weighted_error': 1.0059721237698573}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.00036728417860754233, 'weighted_error': 1.0076937835848099}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.000576173076074289, 'weighted_error': 1.0120653304457699}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.0002799376916856108, 'weighted_error': 1.0058463863459322}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.00020839896950720487, 'weighted_error': 1.0039222262465846}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.00038047269957833664, 'weighted_error': 1.0061967167431145}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0031921694665198934, 'weighted_error': 1.0225349186736614}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.011761568954039403, 'weighted_error': 1.069043097000842}
