{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0009560921806302648, 'weighted_error': 1.0015139047357657}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00046125490140469885, 'weighted_error': 1.0007303700667896}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00015388670913809573, 'weighted_error': 1.000243662557692}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.6735439434050364e-05, 'weighted_error': 1.0000898324103829}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.4665983995410003e-05, 'weighted_error': 1.0000390572459212}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.7152391948572303e-05, 'weighted_error': 1.00030260465669}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.0484588520028285e-05, 'weighted_error': 1.0001849633805346}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.0048770910952656e-06, 'weighted_error': 1.0000530139198145}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.921757020077243e-06, 'weighted_error': 1.0001221079260176}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.1957349749325266e-06, 'weighted_error': 1.000021097391452}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.4646079159217636e-06, 'weighted_error': 1.0000258350470677}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0030201741269317325, 'weighted_error': 1.1742712602437833}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0006440860350494982, 'weighted_error': 1.037165501864157}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00032274480236895136, 'weighted_error': 1.0186230789579231}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.7165012318840704e-05, 'weighted_error': 1.0027215050819527}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.697822051384691e-05, 'weighted_error': 1.0055959370019691}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.6706720155428126e-05, 'weighted_error': 1.0026949683561142}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0012861347443120816, 'weighted_error': 1.0114786975109138}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0011301359638089116, 'weighted_error': 1.0100865553311604}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00031692785042608106, 'weighted_error': 1.0028286121390477}
