{'sample_size': 4000, 'noise': 0, 'shap_error': 2.3751455863869334e-14, 'weighted_error': 0.9999999999987964, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 1.4620818896694723e-08, 'weighted_error': 1.0000007256317096, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 5.849286467362376e-08, 'weighted_error': 1.000002902558656, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 1.4625142536294127e-06, 'weighted_error': 1.0000725645594248, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 5.850153546675547e-06, 'weighted_error': 1.0002902585233786, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 0.00014625577016508706, 'weighted_error': 1.0072564687547063, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.0005850240466232149, 'weighted_error': 1.0290258778431165, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.014625620485692721, 'weighted_error': 1.725647002520411, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.05850249160304087, 'weighted_error': 3.9025880382920657, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 4.503817869746654e-14, 'weighted_error': 0.9999999999994281, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 3.800827218946776e-09, 'weighted_error': 1.0000000795847799, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 1.520087572327381e-08, 'weighted_error': 1.0000003183609676, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 3.79974851404468e-07, 'weighted_error': 1.000007959440569, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 1.5198762901230542e-06, 'weighted_error': 1.0000318379653184, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 3.7996446564555706e-05, 'weighted_error': 1.000795953173213, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.0001519855563193044, 'weighted_error': 1.0031838147078342, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.00379963431082562, 'weighted_error': 1.0795954079749184, 'gamma': 1.1}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.01519853494512937, 'weighted_error': 1.3183816520340617, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 0, 'shap_error': 3.66524433053135e-14, 'weighted_error': 0.9999999999999643, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 9.331105739335045e-09, 'weighted_error': 1.0000000068299557, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 3.73292230838351e-08, 'weighted_error': 1.000000027321849, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 9.333278991140345e-07, 'weighted_error': 1.0000006830854622, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 3.733360587337011e-06, 'weighted_error': 1.0000027323611465, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 9.333499582053889e-05, 'weighted_error': 1.0000683094133285, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.0003733404741805912, 'weighted_error': 1.00027323784533, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.009333521673802731, 'weighted_error': 1.006830949972291, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.03733409160518479, 'weighted_error': 1.0273238018083648, 'gamma': 1.6}
{'sample_size': 1000, 'noise': 0, 'shap_error': 4.7077907506048734e-14, 'weighted_error': 0.999999999998517, 'gamma': 1.1}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 1.5707936320949807e-08, 'weighted_error': 1.0000002764590905, 'gamma': 1.1}
