{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.4045723556005284e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435495}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.4045723561796146e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435494}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.404572355381611e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435494}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.4045723552721522e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435494}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.308611574908828e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999461209692}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.4000435114445926e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999460906607}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.3316135702317267e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999461152568}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.34816526186565e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999460743484}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.3515234785174463e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999460694896}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.3521378198808113e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999460676796}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.135261001532435e-10, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.000003999041868}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 9.108329216171562e-11, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000005342206526}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 9.470209663438229e-11, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000005307719886}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 8.588527427688122e-11, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.000000484676876}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.4816549024895595e-11, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000002333955649}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.98723667060956e-11, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.000000178844591}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.1286128231367932e-10, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000006536635824}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.958624856131421e-11, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000004217091005}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.1160286588092193e-10, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000012012005473}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.705314526143796e-11, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000002122123057}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.666749877522631e-11, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000003460381341}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.5310372199922254e-11, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000003351323012}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0031331686097450387, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0117687165064384}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0011301289743676814, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0042476422880406}
