{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(114.73015867616816)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(837.9281223999473)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(843.9150872620298)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(935.3519628752196)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(899.3356195023392)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(883.132716598029)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(852.3270014432153)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(158.08894140921717)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(92.34952226606299)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(95.32961342327438)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(89.33659077955816)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(100.99482236812379)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(93.2275669257169)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(237.31546317312407)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(263.5942984831949)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(170.81087488249491)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(136.69296684213245)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(151.56919996109673)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(177.34607985235007)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(231.5504510775306)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(278.13723463226717)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(192.1821611954626)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(175.47267018191755)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(195.8307953735072)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(184.13412897135456)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(101.88010562781551)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(90.48157341413054)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(74.50827493100498)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(76.06682486706148)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(83.28814276918854)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(71.89668521064358)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(730.8725762448125)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(843.8691499637537)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(813.3667512392165)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(636.0122072082602)}
