{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.10563966220647114, 'weighted_error': 1.0061729883194903}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.001084643581684111, 'weighted_error': 1.0000633856552457}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 4.913730066236817e-11, 'weighted_error': 0.9999999999983423}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 4.913730069104307e-11, 'weighted_error': 0.9999999999983419}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 4.913730064417047e-11, 'weighted_error': 0.9999999999983419}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 4.913730068920339e-11, 'weighted_error': 0.9999999999983421}
{'sample_size': 500, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 1.529686876235628, 'weighted_error': 1.0039247198744168}
{'sample_size': 1000, 'difference': 9, 'noise': 0, 'n': 10, 'shap_error': 0.009975231419941603, 'weighted_error': 1.0000255917701373}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 5.063414450747716e-11, 'weighted_error': 0.999999999999874}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 5.0634144559062313e-11, 'weighted_error': 0.999999999999874}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 5.063414452661996e-11, 'weighted_error': 0.999999999999874}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 5.063414449180255e-11, 'weighted_error': 0.999999999999874}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 10, 'shap_error': 0.25522596192247027, 'weighted_error': 1.0040329492613322}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.003566178083854417, 'weighted_error': 1.0000563606497368}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 7.771453504839176e-11, 'weighted_error': 0.9999999999987812}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 7.771453500319771e-11, 'weighted_error': 0.9999999999987813}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 7.771453503478739e-11, 'weighted_error': 0.9999999999987811}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 7.771453506444932e-11, 'weighted_error': 0.9999999999987812}
{'sample_size': 500, 'difference': -7, 'noise': 0, 'n': 10, 'shap_error': 0.1744403451563414, 'weighted_error': 1.0020002678297748}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0012053364559281626, 'weighted_error': 1.0000138168581036}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 7.497877354631169e-11, 'weighted_error': 0.999999999999173}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 7.497877354592617e-11, 'weighted_error': 0.999999999999173}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 7.497877354645055e-11, 'weighted_error': 0.999999999999173}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 7.497877357558874e-11, 'weighted_error': 0.999999999999173}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 10, 'shap_error': 0.09429739377561187, 'weighted_error': 1.0016972531752633}
{'sample_size': 1000, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.0009198847616028111, 'weighted_error': 1.0000165549824676}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 5.7149837965298114e-11, 'weighted_error': 0.9999999999991966}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 5.7149838005305576e-11, 'weighted_error': 0.9999999999991968}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 5.7149837980540364e-11, 'weighted_error': 0.9999999999991966}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 5.714983798673167e-11, 'weighted_error': 0.9999999999991968}
