{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 9.447433312064426e-05, 'weighted_error': 1.0062867961822697, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0014451720712163611, 'weighted_error': 1.0927444608360863, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.005105597507059863, 'weighted_error': 1.3235308411417983, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.323611587412378e-05, 'weighted_error': 1.0002772604070715, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 2.2094130272728052e-05, 'weighted_error': 1.0004628175481416, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 7.949666617535221e-06, 'weighted_error': 1.0001665231893477, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 2.5194667934852304e-05, 'weighted_error': 1.000527694439911, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 6.112446510621466e-05, 'weighted_error': 1.0012800851754722, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 1.191618864999551e-05, 'weighted_error': 1.0002398717640617, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 3.75456798006579e-05, 'weighted_error': 1.0007475800232046, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.001940692553459985, 'weighted_error': 1.0396803951557154, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.006475760722853734, 'weighted_error': 1.1317616631248166, 'gamma': 0.044}
