{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.004654492223099865, 'weighted_error': 1.0649025280945121, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.01159311375241663, 'weighted_error': 1.1124524853835882, 'gamma': 0.044}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.01425142033507072, 'weighted_error': 1.0165219858973153, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.010861735045325954, 'weighted_error': 1.0125922560754284, 'gamma': 0.054}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0013887489843199376, 'weighted_error': 1.00161000307413, 'gamma': 0.054}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0046671834528429655, 'weighted_error': 1.0054107326095965, 'gamma': 0.054}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0006290172261276322, 'weighted_error': 1.0007292362472942, 'gamma': 0.054}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00013882742403551122, 'weighted_error': 1.000160947838734, 'gamma': 0.054}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0014740792902039066, 'weighted_error': 1.0056381399852847, 'gamma': 0.035}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.000672407152436507, 'weighted_error': 1.0025718422629801, 'gamma': 0.035}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0004726800391445518, 'weighted_error': 1.0018079417965435, 'gamma': 0.035}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00041803538285613696, 'weighted_error': 1.0015989491873518, 'gamma': 0.035}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00016240725513187309, 'weighted_error': 1.0006211864767702, 'gamma': 0.035}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0001101335950779891, 'weighted_error': 1.0004212459308268, 'gamma': 0.035}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00046491086650925564, 'weighted_error': 1.0045277825270427, 'gamma': 0.05}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0010200581721030143, 'weighted_error': 1.009934450113233, 'gamma': 0.05}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0006156428866930039, 'weighted_error': 1.0059958600489425, 'gamma': 0.05}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00014274220718294735, 'weighted_error': 1.0013901990650516, 'gamma': 0.05}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00012849417439314524, 'weighted_error': 1.0012514309259937, 'gamma': 0.05}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.4055868407839294e-05, 'weighted_error': 1.0005264422136713, 'gamma': 0.05}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0014157551810831028, 'weighted_error': 1.016740266989784, 'gamma': 0.062}
