{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 5.161198434740223e-07, 'weighted_error': 1.0000519840500837, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 1.130219791952866e-06, 'weighted_error': 1.000044252210014, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 4.267134417477476e-06, 'weighted_error': 1.0001499444010127, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 9.088190648053697e-05, 'weighted_error': 1.0020636004815118, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.000376396391373438, 'weighted_error': 1.0096266635756324, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.007866888247081205, 'weighted_error': 1.0761182932753948, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.04128081002540854, 'weighted_error': 2.3509602319213005, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.8429280705027686e-05, 'weighted_error': 1.0000488059696284, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 5.1789819118500555e-05, 'weighted_error': 1.0001371505188532, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 4.394276838309485e-05, 'weighted_error': 1.0001163699045994, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 5.465265461440832e-05, 'weighted_error': 1.0001447223662827, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 7.451042965417092e-06, 'weighted_error': 1.000019689161795, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 3.385234854759797e-05, 'weighted_error': 1.000088565207845, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0001304768621541095, 'weighted_error': 1.000341192234477, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0016672057519304792, 'weighted_error': 1.0043065959938884, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.005168298118931272, 'weighted_error': 1.0132526117516303, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.1300300635394266e-06, 'weighted_error': 1.0002199898389874, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 4.52715360756661e-06, 'weighted_error': 1.000317148745517, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 6.2997750975363734e-06, 'weighted_error': 1.0004387254983078, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 1.0192856620845135e-05, 'weighted_error': 1.0006153057076403, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 1.21544261389669e-05, 'weighted_error': 1.0004499197873695, 'gamma': 0.012}
