{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 0.00037299836989653136, 'weighted_error': 3.000573349824267, 'gamma': 43.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.007164268720124683, 'weighted_error': 14.181187746750076, 'gamma': 43.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.03327743045652785, 'weighted_error': 132.48766446845252, 'gamma': 43.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.276401935612304e-07, 'weighted_error': 1.0029388535374701, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 6.11910637536225e-07, 'weighted_error': 1.0033878697871645, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 5.921113275174077e-07, 'weighted_error': 1.0032164764217666, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 8.006144924095275e-07, 'weighted_error': 1.0024224608986194, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 2.604345021486174e-06, 'weighted_error': 1.0063585001849036, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 4.795827005444649e-05, 'weighted_error': 1.0634379043440272, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 0.00019725328783104797, 'weighted_error': 1.2839411856297072, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.005244789257939631, 'weighted_error': 9.844430413742774, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.019865972522205035, 'weighted_error': 30.177481428415096, 'gamma': 1100.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.3890800140506608e-07, 'weighted_error': 1.0008816816079638, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 8.796078672061257e-08, 'weighted_error': 1.000558305782486, 'gamma': 61.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.753710176194363e-08, 'weighted_error': 1.0001113129767392, 'gamma': 61.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.00017988709612e-08, 'weighted_error': 1.000126954040678, 'gamma': 61.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.0702917259962525e-08, 'weighted_error': 1.0001314050717818, 'gamma': 61.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.443178086419617e-09, 'weighted_error': 1.0000345500270165, 'gamma': 61.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 8.331603633998358e-07, 'weighted_error': 1.000870604026857, 'gamma': 12.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.458564902527995e-07, 'weighted_error': 1.0005703822840002, 'gamma': 12.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.7950497265335454e-07, 'weighted_error': 1.0003965557191197, 'gamma': 12.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.241946844944109e-08, 'weighted_error': 1.000033876370438, 'gamma': 12.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.2403224956683668e-07, 'weighted_error': 1.000129608017667, 'gamma': 12.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.0060004874510114e-08, 'weighted_error': 1.0000314112885296, 'gamma': 12.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.467615030228051e-07, 'weighted_error': 1.0010321713878005, 'gamma': 1.2}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.414458719145158e-07, 'weighted_error': 1.0013140099314723, 'gamma': 1.2}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.991017216006778e-07, 'weighted_error': 1.000592653088059, 'gamma': 1.2}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 7.638616342979498e-08, 'weighted_error': 1.000227376026479, 'gamma': 1.2}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.115834333801714e-08, 'weighted_error': 1.0001820442917035, 'gamma': 1.2}
