{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.2578821587313294)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04441720217677738)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04405564995915237)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04498892421852559)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04483357213732096)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04437018307549797)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.044651587349641635)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.014041401808170702)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05356835493572049)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05266655720407856)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04659134424230156)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04005082526132513)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.04505744228396201)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0737110956285662)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.1369931716832457)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.1459702852857586)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.1252824538220779)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.14810093685147413)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.12863260265353826)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.5960484865685133)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6302848104466802)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6064953109743636)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6033008691666462)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6032551945191479)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6019047741709621)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.12900155152359497)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.1294401358313247)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.1502053835517027)}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.13737404521627752)}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.12565450858839824)}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.10851804722414979)}
{'sample_size': 395, 'difference': -79, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.12019760079990961)}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.12910991948745798)}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.11428965163107549)}
